,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
0,0,-2.5,2023-01-14 22:04:26.994151,2023-01-14 22:06:33.983680,0 days 00:02:06.989529,tanh,10,0.00047307531638717345,1.910979161215235e-05,0.40572802127703916,tiny,0.9995269246836128,1024,COMPLETE
1,1,-2.5,2023-01-14 22:06:33.984355,2023-01-14 22:07:57.142285,0 days 00:01:23.157930,relu,8,0.030066185497794783,3.8061392154797994e-05,3.6921951618909157,tiny,0.9699338145022052,256,COMPLETE
2,2,2.5,2023-01-14 22:07:57.142701,2023-01-14 22:09:12.688566,0 days 00:01:15.545865,relu,10,0.057219897912483414,0.00045092592217625915,2.246812151550664,tiny,0.9427801020875166,1024,COMPLETE
3,3,24.0,2023-01-14 22:09:12.688934,2023-01-14 22:10:27.916590,0 days 00:01:15.227656,relu,8,0.014889725826919203,0.0006154111338693912,0.3034497861370961,small,0.9851102741730808,256,COMPLETE
4,4,-2.5,2023-01-14 22:10:27.916920,2023-01-14 22:11:42.544342,0 days 00:01:14.627422,relu,8,0.012860380353247412,0.01144740384628696,4.29646061416294,tiny,0.9871396196467526,256,COMPLETE
5,5,-5.0,2023-01-14 22:11:42.544703,2023-01-14 22:12:31.992492,0 days 00:00:49.447789,tanh,4,0.0014221424766599332,0.7664291851612919,0.3126734050608421,small,0.99857785752334,16,PRUNED
6,6,-2.5,2023-01-14 22:12:31.992714,2023-01-14 22:13:51.765758,0 days 00:01:19.773044,relu,5,0.004530909749299456,0.0059834138100379915,0.7917999218298274,small,0.9954690902507005,32,COMPLETE
7,7,3.0,2023-01-14 22:13:51.766092,2023-01-14 22:15:05.792725,0 days 00:01:14.026633,relu,6,0.000170373239536436,0.0004870179599926999,0.9472071415181519,small,0.9998296267604636,64,COMPLETE
8,8,-2.5,2023-01-14 22:15:05.793075,2023-01-14 22:16:27.349302,0 days 00:01:21.556227,tanh,8,0.006288260701016666,0.07981927526048388,0.6875498507494407,small,0.9937117392989834,256,COMPLETE
9,9,8.5,2023-01-14 22:16:27.349714,2023-01-14 22:17:41.920017,0 days 00:01:14.570303,relu,7,0.0015388622309972114,0.0002886537159465149,1.5664608893386482,small,0.9984611377690028,128,COMPLETE
10,10,-2.5,2023-01-14 22:17:41.920386,2023-01-14 22:19:03.608934,0 days 00:01:21.688548,tanh,9,0.09966198186543414,0.042970301416807556,0.5024686167944438,small,0.9003380181345658,512,COMPLETE
11,11,24.5,2023-01-14 22:19:03.609321,2023-01-14 22:20:18.373356,0 days 00:01:14.764035,relu,7,0.0012871408355286083,0.00032133757624441025,1.7340226746696066,small,0.9987128591644714,128,COMPLETE
